Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth
Sandstone,9.988698431,846.4301782,Fault,0.97997129,2.820562577,2657
Shale,6.32658683,974.7037324,,0.956271601,0.698184408,3803
Shale,27.84305507,992.2496729,Dome,0.177412417,0.196309605,1301
Limestone,7.819849645,658.2260514,Dome,0.085249742,2.271334992,1731
Sandstone,21.58737674,168.9224948,Dome,0.373769255,0.799646998,3749
Limestone,15.49333026,734.4159064,,0.878511972,1.402137675,4272
Limestone,16.83020509,862.6385399,,0.166812507,0.26371265,3531
Limestone,8.942269516,162.8052172,,0.72299996,3.806539994,2047
Limestone,9.404320795,940.1817714,,0.32387195,2.984426839,4561
Sandstone,19.62661386,997.2299774,Fault,0.715819573,2.663796363,2599
Limestone,25.53783502,333.4377755,Anticline,0.774428582,4.028489277,1731
Sandstone,1.203738608,643.8284603,Dome,0.042841024,4.642380658,1750
Shale,16.95097575,793.5195336,Fault,0.632278767,0.823259612,4873
Limestone,2.852809431,795.6594557,Dome,0.154539398,3.718376181,2629
Limestone,27.30649965,39.38721999,Fault,0.750830625,2.592737155,2084
Limestone,12.46542189,545.9112387,,0.00589694,4.175063358,3859
Sandstone,29.52703498,664.4886123,,0.820499378,1.313590088,4592
Sandstone,22.85650836,9.257032648,Anticline,0.926174044,1.241212661,1337
Sandstone,2.067836344,265.8910735,Anticline,0.889406117,1.23027421,3891
Shale,7.733354646,690.1988435,Dome,0.027616057,4.545701417,4409
Shale,2.976887883,14.40949221,Fault,0.509601889,4.055393903,2648
Sandstone,23.49000694,908.9152069,Fault,0.569582958,3.326640263,1916
Sandstone,6.36856925,84.11861469,Anticline,0.651152451,4.831471649,1897
Shale,8.396779567,875.2458714,Fault,0.156164959,3.566907049,1518
Shale,28.8663873,11.06358833,,0.884858896,2.312955103,1696
Sandstone,27.76749028,306.257498,,0.721220917,3.121879777,3656
Limestone,13.20540986,999.3305916,Dome,0.635738832,0.607705347,4645
Sandstone,23.15348817,617.1213425,Anticline,0.999482704,3.411733267,763
Sandstone,11.90265169,207.5537635,Fault,0.886019018,4.343796934,2288
Shale,1.605433887,431.0630898,Fault,0.207181472,0.8763381,4846
Limestone,19.37277877,908.5550507,Dome,0.583092743,1.796506006,4672
Limestone,20.41438388,713.3038189,,0.352745013,1.893685736,4067
Shale,28.65189561,302.5372811,Fault,0.237955471,2.80104772,4720
Limestone,28.60605294,156.4923448,Anticline,0.615047449,3.555635037,4349
Limestone,10.79977256,14.21804791,,0.50473855,0.669713314,1111
Limestone,21.98577562,269.0139133,Fault,0.810672057,3.298350213,784
Sandstone,26.62625723,845.0691709,Dome,0.682172978,2.756053546,2300
Shale,19.86335477,502.1281791,Fault,0.165140098,3.224852425,1967
Sandstone,24.20334428,869.0948091,,0.419116217,4.704156173,4546
Limestone,21.07465025,496.9025228,Dome,0.133101539,2.542520638,990
Limestone,18.6594237,979.1242909,Fault,0.672982307,2.25836864,3171
Shale,21.18475506,630.7673335,Dome,0.290666262,2.318010898,3455
Limestone,22.34596075,447.0314298,,0.435459885,2.671223613,4926
Sandstone,21.48446337,991.0942528,,0.542825217,1.245933433,4412
Sandstone,3.235597937,171.5787447,Anticline,0.07994271,0.144368253,4547
Shale,24.2321788,615.1426314,Dome,0.136038583,0.654107131,1378
Limestone,24.35727345,941.9331751,Anticline,0.862182053,2.188696993,4772
Limestone,4.284723315,605.5370546,Dome,0.422325324,0.185230766,4209
Limestone,7.461761814,116.1759686,Fault,0.119403232,3.021475053,2035
Limestone,2.741223146,185.5291957,Anticline,0.589755418,0.430068178,2143
Limestone,6.465385726,502.5106118,Fault,0.754968355,2.051737133,3088
Shale,3.857387355,737.3506028,Dome,0.124498156,2.098240054,3818
Limestone,0.875096769,833.7060919,Anticline,0.219199803,4.945441699,4825
Sandstone,15.11739076,296.3035259,,0.628604926,4.043153136,4678
Shale,29.11315647,542.6621843,,0.246968848,0.066828102,3152
Sandstone,10.29155198,948.8969926,Anticline,0.711123296,4.38189215,693
Sandstone,6.243181038,846.8752684,Dome,0.565486283,2.398136186,3147
Sandstone,9.074370875,734.3744726,Anticline,0.309655274,2.402921589,1737
Sandstone,7.476113118,870.9617887,Dome,0.630810046,1.186381392,1644
Sandstone,24.24203451,939.3209687,Fault,0.482094867,2.671352433,4340
Sandstone,20.86232013,134.2631924,Anticline,0.839605159,2.3020587,4216
Sandstone,10.97657429,310.1230385,Fault,0.382144188,4.910949517,2282
Sandstone,17.70382218,54.80825234,Anticline,0.191799557,2.80151711,1636
Sandstone,7.146283064,799.0744379,Fault,0.92267732,2.371482512,4523
Limestone,25.36960567,74.5077132,Dome,0.443788838,0.984335755,3857
Sandstone,25.27114001,577.0966444,,0.378501261,0.913693757,2516
Sandstone,3.952313989,971.2032307,Anticline,0.146070384,3.034155214,1241
Sandstone,13.33186855,461.5110802,Anticline,0.271323048,3.857790789,1493
Sandstone,2.359861749,126.9899547,,0.084472197,0.012571705,1361
Sandstone,13.12938908,510.5591198,Dome,0.919613493,4.469883372,1291
Sandstone,22.61041547,762.52291,Anticline,0.251051324,1.212243946,1003
Sandstone,21.78183978,720.9471996,Fault,0.764939318,4.036337283,4039
Limestone,29.58984521,863.4402113,Anticline,0.057226407,2.875383072,2750
Limestone,5.435155526,963.9797905,Fault,0.834934149,2.379157975,4499
Sandstone,9.391504352,914.2423052,Anticline,0.133342464,2.90492153,3901
Shale,2.714889333,886.7000145,,0.010468573,0.063005506,1075
Sandstone,25.18359703,54.94529289,Anticline,0.19069853,1.387593953,3869
Sandstone,25.57754865,164.4603762,Anticline,0.217164516,1.014528978,4953
Limestone,3.217405005,790.4542314,Fault,0.229868634,1.101617887,4446
Limestone,21.69214908,70.16089562,Dome,0.641042318,0.35624369,567
Limestone,29.03408213,616.4762288,Anticline,0.889590641,4.715941454,1629
Limestone,9.773386312,633.0956576,Dome,0.341788105,2.719303867,3626
Shale,26.28577435,842.1821938,Dome,0.853654479,0.223761096,2700
Shale,8.986689588,668.2688078,Anticline,0.545534277,4.947260551,4449
Limestone,14.46822,975.5938939,,0.235138308,2.088690882,1308
Shale,27.94977749,835.0270561,Fault,0.956549354,4.6658074,4233
Limestone,15.01431948,21.49109142,Anticline,0.338089522,4.741266427,2661
Limestone,8.711046375,370.687978,Dome,0.188522111,0.460511886,1971
Limestone,19.57454185,141.1824522,Dome,0.247862797,2.532819923,1018
Shale,16.83767034,493.181656,Dome,0.701519777,1.437600993,2725
Limestone,22.56386099,695.5788588,Fault,0.309902227,4.138136897,751
Sandstone,19.58918766,770.3611606,Fault,0.887204314,0.630031933,3004
Sandstone,17.44692613,910.3614995,Dome,0.144297402,3.681029884,2346
Sandstone,29.54850949,911.5157916,Dome,0.205134181,2.394112773,4530
Sandstone,4.977030731,266.3438482,Fault,0.888668599,2.618183371,1271
Shale,9.145145078,401.3476992,Fault,0.085978397,2.275531504,3490
Sandstone,27.51661775,787.1411778,Fault,0.80624615,2.93854515,2337
Shale,21.97324377,293.1104978,Fault,0.244779465,1.68670255,2208
Sandstone,14.40142132,349.1606406,,0.791874265,0.92387759,4440
Shale,28.20549574,105.6577739,Anticline,0.097661077,1.034194673,4155
Shale,24.04618382,561.1510274,Fault,0.649553249,2.481381712,1391
Limestone,29.15852536,711.8961199,,0.988803525,3.345855471,1953
Sandstone,29.43134587,18.85565731,Anticline,0.983830143,1.329102704,4112
Sandstone,3.380205799,79.77018154,Anticline,0.942123314,1.369140487,3779
Sandstone,21.9263887,594.2798939,Fault,0.039927659,0.488732416,3258
Shale,6.016589335,927.0614863,Anticline,0.725350872,1.058757569,1319
Shale,0.551584265,933.5075662,Fault,0.524234038,3.848031949,3909
Shale,2.840429715,278.2691126,Anticline,0.188209376,4.802157897,3720
Limestone,22.59356542,617.673785,Anticline,0.788035046,0.241812328,4411
Sandstone,18.51658749,483.0230858,Dome,0.245126004,1.532195955,4735
Limestone,5.419880967,47.8513427,Fault,0.355940475,2.337674114,2009
Limestone,27.18057213,18.45066215,Fault,0.403430619,4.035068178,1154
Sandstone,13.31711497,598.9657858,Dome,0.122826543,4.566089926,715
Limestone,8.508237703,237.6889948,,0.368038799,4.843453887,1156
Sandstone,8.862661089,383.6972011,,0.182665995,0.185542558,680
Limestone,2.831924277,503.3911839,Anticline,0.669120684,1.183530449,2927
Limestone,17.16163918,703.6773049,Fault,0.972298613,2.701835048,4102
Sandstone,20.68915559,261.3372885,Anticline,0.271632622,3.502898329,1572
Limestone,8.287168249,667.9164378,Dome,0.212940526,4.523512534,2536
Limestone,20.70369353,396.0096055,Dome,0.336859382,3.819288791,1288
Limestone,26.6623955,499.0159465,Anticline,0.029657246,3.535087169,2874
Shale,24.27584411,70.6872553,,0.377799326,4.727789356,4229
Shale,29.20099698,137.0003039,Fault,0.493075656,0.131762225,2219
Shale,10.47157273,431.4896438,Dome,0.622607722,0.722031507,1629
Shale,11.98296837,166.8284662,Anticline,0.888321927,4.274082823,1071
Sandstone,1.973946534,689.7844255,Fault,0.085028216,1.856971212,4609
Shale,24.58828659,189.4318985,Dome,0.101335484,0.10950538,2448
Shale,9.589561659,239.5271281,,0.825091461,0.093055082,4793
Sandstone,10.39676279,532.6006068,Dome,0.544815887,2.334528859,3495
Limestone,20.41681998,270.7320427,Fault,0.06097172,2.716529633,4323
Limestone,10.49563153,374.2610174,Anticline,0.318853771,2.203747002,2058
Shale,27.78924831,644.1047839,,0.044885685,0.372759424,4886
Limestone,24.04858458,206.5191027,Anticline,0.218997709,4.250576329,4641
Limestone,4.981575644,217.0846394,,0.489353125,3.137444383,4982
Shale,23.72073306,156.5195376,Fault,0.302724796,4.236578706,1589
Shale,10.64793603,636.8342378,,0.244797062,4.110571198,4954
Limestone,17.59535343,418.9563304,,0.117807213,3.710814314,3359
Sandstone,15.38506087,832.6958204,Anticline,0.422068638,4.722312538,4027
Limestone,7.781652022,612.2921807,Anticline,0.001163664,3.32599185,1323
Sandstone,24.53365292,282.2927116,Fault,0.725366448,1.373645401,2252
Shale,6.690294706,392.4511699,Dome,0.356573043,4.91273101,1017
Sandstone,15.89141898,56.61714214,Fault,0.460748135,0.248460418,4514
Shale,24.91907294,397.3960886,Anticline,0.729166703,4.798312807,1383
Shale,22.02816092,161.1842993,Fault,0.285960679,4.752948879,3556
Shale,23.22908049,576.2094257,Anticline,0.067501229,3.26591801,2583
Limestone,2.253687305,7.077227604,Dome,0.832037143,3.929067346,1868
Shale,9.91174421,634.1338921,Dome,0.347591882,1.788471813,2598
Shale,16.12753877,107.452921,Dome,0.749383154,4.021609707,3495
Shale,1.577231934,104.6264344,Anticline,0.170148048,0.360108102,1602
Sandstone,0.600696892,530.7329624,Fault,0.528893967,4.451960675,3665
Sandstone,26.39788691,726.1677669,,0.457547229,2.777052481,1031
Shale,22.71567359,890.5083903,Dome,0.219746917,4.149968229,4254
Shale,24.16824866,920.5518283,Fault,0.66580546,3.20979606,4086
Sandstone,5.683302995,682.8105407,Fault,0.435812841,4.643956086,3215
Sandstone,15.00893623,430.6881553,Dome,0.09909645,2.592178407,591
Limestone,8.075692184,205.8500383,Anticline,0.753495561,1.367765703,525
Limestone,11.70886642,796.8600783,Fault,0.999694831,3.983680194,1251
Shale,23.06940586,839.0071698,Fault,0.136689915,3.74328097,2185
Limestone,24.67017334,71.43445061,Dome,0.341334601,2.566693535,3412
Shale,21.53611742,224.7144949,Fault,0.54291401,1.036232811,1138
Sandstone,22.58545968,458.1112788,Anticline,0.397877779,2.542063498,3474
Shale,11.70258116,327.1462571,Dome,0.903052665,0.676209992,3272
Sandstone,22.9695701,227.2173183,Fault,0.450470412,2.819520253,2781
Sandstone,4.908494662,645.4919868,,0.188706161,2.670599905,559
Sandstone,20.55604361,561.395543,,0.881535298,3.924790116,681
Limestone,23.38658606,936.0371351,Fault,0.398563388,0.818112464,2647
Sandstone,22.43101542,189.2995619,,0.085541667,0.50750415,908
Limestone,8.8004588,872.274713,Fault,0.392589401,2.337188997,2042
Limestone,17.65514805,872.1131111,Fault,0.278694854,0.72537752,4344
Limestone,24.82069664,760.9190815,,0.552869394,3.809688876,2842
Shale,13.63266957,631.7582919,Dome,0.840059018,0.205303723,3990
Limestone,17.55105506,336.4507969,,0.482834901,1.717156909,4094
Sandstone,12.23687812,310.7303783,Dome,0.767184614,0.06195732,1241
Shale,8.603006327,110.152295,,0.864541253,4.295465671,3494
Sandstone,20.0341866,633.0335876,,0.684823492,3.748430788,3749
Sandstone,6.90957674,73.34989055,Anticline,0.241814419,3.350995832,607
Shale,2.079135181,23.46983731,Fault,0.516768907,0.629489432,3859
Shale,23.29460644,62.73201693,Fault,0.673140797,4.202056408,1240
Sandstone,6.978115864,96.15720245,Dome,0.944940906,0.63632746,4821
Limestone,18.39455733,304.429356,,0.983523722,0.22651712,2849
Shale,12.37099462,181.2070885,Dome,0.189881986,3.032318426,2756
Sandstone,7.920385382,857.343134,Anticline,0.437255839,2.794898092,1286
Shale,29.30896638,251.1929584,,0.351076239,4.279572377,4856
Sandstone,9.26406826,827.0766405,Anticline,0.284929806,2.440797391,3038
Limestone,14.57452287,806.2056988,Dome,0.688524402,2.438793813,3746
Shale,20.22052605,869.0824432,Anticline,0.265011786,1.626443071,3659
Limestone,8.828002099,161.1601509,Fault,0.857197587,3.991720803,2096
Sandstone,11.34302309,523.7352544,Dome,0.724384068,3.691021518,2203
Sandstone,9.727526216,726.745072,,0.937381547,3.842162771,2580
Shale,3.706994622,25.08772749,Fault,0.395600475,1.331268427,2845
Sandstone,24.79360957,121.4439313,,0.864331295,0.925064461,2708
Sandstone,7.870289003,938.4232387,Dome,0.45683543,3.870106529,4471
Shale,25.89406613,418.2213669,Anticline,0.748835286,3.95681437,2084
Limestone,9.833136175,577.8320388,Fault,0.988693134,3.022132092,2888
Limestone,16.66491841,180.7164224,Dome,0.849740728,1.264481367,648
Sandstone,15.12011291,242.718675,,0.921034387,2.45230158,4424
Limestone,17.50815111,538.5294832,Fault,0.875819842,0.593403076,4218
Shale,15.75461682,460.8768944,Dome,0.670695794,2.790511884,2552
Shale,25.82432588,376.2132851,Dome,0.684138788,3.357095751,1892
Sandstone,10.16439065,427.9770228,Dome,0.942648108,2.900032877,4890
Sandstone,7.704901132,686.0173483,Anticline,0.741264257,1.9733858,2989
Limestone,24.09734714,94.37446897,Dome,0.440290046,0.631540002,2572
Shale,13.30937246,269.9408478,Anticline,0.761313775,3.769780791,1991
Sandstone,26.03899926,353.4912743,Fault,0.0498123,0.812430794,4104
Sandstone,12.05090678,954.4149929,Anticline,0.492395125,3.381314464,1180
Sandstone,12.32571276,351.8925885,Anticline,0.616252827,3.999295506,1062
Shale,9.331100018,346.07478,Dome,0.481179659,2.74043434,1531
Shale,1.895492906,408.583492,Fault,0.25610706,2.716448275,1746
Shale,25.98069572,686.5636859,Dome,0.530024637,1.605694585,4189
Limestone,13.73231451,806.5489255,Anticline,0.691597114,1.022531567,564
Sandstone,16.66575204,887.8215225,,0.888160832,2.456142511,2934
Shale,29.4569142,143.4574538,Dome,0.343249691,3.248024047,4615
Shale,20.22113602,607.6222208,,0.641743254,2.944187347,3893
Shale,2.074607032,107.2617982,Anticline,0.810930856,2.568001893,1514
Limestone,7.821263224,304.5033186,Anticline,0.696606387,1.385303627,4499
Shale,7.126800437,688.938675,Dome,0.466645801,2.757334394,4232
Shale,27.44573418,720.3580825,Anticline,0.665512583,1.531735465,4114
Shale,27.58904724,968.0014761,,0.252097065,2.891606993,3382
Shale,1.662989668,372.9073772,Dome,0.244315892,1.487063183,1628
Limestone,9.543133407,344.7314179,Dome,0.461773304,2.289370261,3256
Shale,23.28871433,63.82972983,Dome,0.725505685,3.562825389,3831
Limestone,5.506923427,992.8705702,Fault,0.144302482,0.925635753,3781
Shale,21.37996857,574.999929,Dome,0.140341973,0.178163441,608
Shale,5.982347933,383.5264189,,0.376490195,3.958366803,1995
Shale,8.640160378,716.6381284,Anticline,0.330181023,1.346454838,4074
Shale,0.005595845,331.4641998,Anticline,0.439167191,0.218919603,3194
Sandstone,12.36289706,162.611583,,0.692340944,2.661393075,1443
Limestone,3.509491392,942.4604619,Dome,0.707344959,1.915579322,612
Shale,19.96951502,959.171802,,0.154958233,3.353170474,2597
Shale,24.89463794,13.11262534,,0.490925094,0.073120215,1233
Shale,20.80005461,441.3244824,,0.311002813,2.825136712,2035
Sandstone,13.30690036,100.1296672,Dome,0.724205823,1.271673568,2355
Sandstone,14.80439994,72.80337845,,0.541896501,0.525332406,2313
Sandstone,4.091109824,643.1033,,0.335374285,2.135665096,3491
Limestone,26.85169812,865.1974675,,0.878181046,4.770102262,3307
Limestone,22.88543707,402.6064632,Anticline,0.460812798,2.10617441,4242
Sandstone,12.14579669,718.2615545,,0.997175684,0.983432013,2456
Limestone,12.45467028,228.9495394,Anticline,0.561846375,1.872835688,2519
Sandstone,8.392379033,642.6773313,Dome,0.617451982,3.441681742,2445
Sandstone,3.39407813,367.3419392,Anticline,0.479916798,4.730785609,3060
Limestone,13.58263013,664.6895987,Anticline,0.952601862,0.254667899,1308
Shale,1.748259047,724.260281,Dome,0.272430603,3.972925705,4725
Sandstone,15.25582295,324.7039277,Dome,0.257819477,3.656027913,2473
Shale,25.27370958,543.2307287,Fault,0.075238508,0.867276501,3421
Sandstone,18.2308771,885.2198801,Fault,0.472748614,4.125629237,3794
Shale,4.217757545,45.43271161,Anticline,0.187597752,4.758906718,3575
Sandstone,1.489844744,818.5842449,Anticline,0.904727607,3.964153761,4622
Limestone,28.84806077,297.6978962,Fault,0.069753485,3.377694639,1756
Sandstone,21.07216098,949.2213346,Dome,0.323928082,0.514434039,1160
Sandstone,22.77260798,97.49209381,Fault,0.953603368,1.164273757,3954
Limestone,8.255103375,482.3915106,Anticline,0.804926678,3.928853599,1067
Shale,5.964421828,161.0362168,,0.160417705,2.437380723,2737
Shale,15.57065081,462.7929876,Fault,0.835793328,1.4115156,1444
Limestone,24.20320709,127.4355744,,0.978248594,1.82636471,4327
Limestone,0.24024422,455.4552347,Dome,0.268613193,4.258132185,1658
Limestone,16.41974053,861.3721785,Fault,0.263784412,0.282739606,777
Sandstone,22.38538916,867.9142623,Fault,0.262527571,2.609064394,1411
Shale,22.02929967,969.5033476,Dome,0.129463097,4.782300285,3815
Sandstone,15.18990928,906.0676898,Dome,0.610361769,0.207676355,3397
Limestone,29.32488775,647.4641497,Anticline,0.433408217,2.438768548,3056
Sandstone,18.11761331,826.5368217,Dome,0.238527439,1.719879988,1643
Sandstone,2.482021189,164.3914834,Anticline,0.69586968,3.05409293,3603
Sandstone,13.93839506,8.265534886,Dome,0.553342775,1.408320511,4518
Limestone,23.88022207,654.1107386,Anticline,0.41843396,1.61997098,3126
Shale,9.909230627,986.5005809,Fault,0.16556127,1.867795489,1412
Shale,19.05794962,481.2601715,Anticline,0.842904559,3.688463034,2690
Sandstone,2.3763945,577.4648201,Anticline,0.971065832,4.333532651,4092
Shale,20.60824305,362.9331372,Anticline,0.445692889,0.19335022,586
Sandstone,19.75198786,355.9119508,Anticline,0.156830456,4.534389877,2594
Shale,11.34620352,476.1018323,,0.354884203,3.717840589,2008
Sandstone,3.784592889,168.4543488,Dome,0.322418734,2.073894516,2535
Shale,1.17236058,986.3765388,Fault,0.116705921,1.981821014,3260
Limestone,5.157376732,16.1978821,Dome,0.200536672,4.227994459,2339
Limestone,26.76176581,724.9795709,Anticline,0.210766933,1.790675899,2803
Limestone,4.406824917,750.2404417,Anticline,0.913034638,3.385599696,3990
