Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Limestone,,65.94048392,Anticline,0.354923271,,,0
Sandstone,27.34916069,329.9445653,Anticline,0.953386073,1.650353964,3211,1
Sandstone,23.78077719,,Fault,,0.946684726,4196,1
Sandstone,10.78393866,963.8790087,None,,1.981113701,,0
Sandstone,23.44906336,492.2208609,Fault,0.749668502,,,1
Limestone,,,Fault,,,,1
Limestone,3.216671826,,None,0.093585341,,,0
Limestone,1.411751384,,Anticline,0.127602308,,2732,0
Limestone,,981.8954191,Dome,,1.363598049,784,1
Shale,10.23060517,,Fault,,4.1727445,,0
Limestone,1.39208658,209.8757573,Fault,0.371766051,4.854603535,,0
Shale,,91.0235193,Anticline,0.622876149,,739,0
Shale,2.686980729,,Fault,0.965152552,0.984965279,,0
Limestone,18.34939258,,Anticline,,1.396037695,581,1
Limestone,1.442769312,,None,0.323896028,2.330979026,4353,1
Sandstone,1.130931747,,Anticline,0.382457783,,3603,0
Limestone,9.592295862,661.5721499,None,0.924428752,0.839771022,4839,0
Limestone,1.712842815,799.1659376,Dome,,2.987010478,3501,1
Shale,,,Anticline,0.843858988,3.038809915,3598,0
Sandstone,14.33998635,823.2724847,Dome,0.908874776,4.785082166,,1
Sandstone,28.26473751,975.8762273,None,0.528607823,1.321821423,2191,0
Shale,,86.5436015,Fault,0.933811275,0.354045,,0
Limestone,8.188499842,425.2543334,None,0.789180652,1.560693958,,0
Shale,25.74991295,161.8851687,Anticline,0.911607857,1.091910651,4376,0
Limestone,,846.5887411,Fault,,,,0
Sandstone,3.510351746,,Fault,,,1117,1
Sandstone,,,Fault,,4.379370293,,0
Limestone,2.482149105,658.9638865,Anticline,,4.403783074,2408,1
Sandstone,0.551149636,53.40803242,Dome,,3.000720192,,0
Limestone,13.42051647,444.2715539,Fault,0.030980953,3.275584651,,0
Shale,23.59577661,576.1738896,None,0.635897117,4.02768819,,0
Sandstone,3.427114158,767.1619974,None,,,3565,0
Sandstone,,,None,,1.944858207,2743,1
Shale,6.771831715,277.7208206,None,0.618353379,4.529201461,3078,1
Shale,1.393009664,95.6761207,Dome,,0.320039263,,0
Limestone,28.22628802,,Anticline,0.153084819,4.485118235,1041,0
Sandstone,3.183762557,,Anticline,,,,0
Limestone,11.14457831,72.74276918,None,0.742221836,4.798270979,,0
Shale,16.93186141,262.3631815,Fault,0.639540351,1.820055277,1724,0
Limestone,,800.6104516,Fault,0.339312596,2.294922535,,0
Limestone,11.65892837,,None,,,3869,0
Shale,0.314809234,,None,,,,0
Limestone,22.55028516,799.9629801,None,,1.38093145,,0
Limestone,11.63085465,439.4698315,Anticline,,3.574233876,4532,0
Sandstone,,,Anticline,,3.199724676,,1
Sandstone,20.22592869,30.76996397,None,,3.90113782,1307,0
Shale,,63.90843732,Fault,,3.079180529,3192,0
Shale,,,Fault,0.729925608,1.698923054,3521,0
Sandstone,8.896127689,,Anticline,,2.861539357,,1
Sandstone,,,Anticline,0.94826865,,,1
Limestone,13.62643259,,Anticline,0.644847878,,,1
Shale,0.117423172,,Anticline,0.068410485,3.226329795,,0
Sandstone,7.597584509,,Fault,0.381235186,,3730,0
Sandstone,5.07609155,,Fault,0.911603518,4.583906124,,1
Shale,5.833429333,,Anticline,,0.22545986,,0
Limestone,,,Dome,0.67286796,0.168940777,4510,1
Limestone,20.68749197,,Fault,0.502057647,1.266669603,,0
Sandstone,19.8434345,118.1544978,Anticline,0.601490136,,,1
Shale,18.4717816,354.0160901,Dome,,1.546047662,3891,0
Shale,,,Fault,,0.034099725,4218,0
Shale,16.42244521,852.2956001,Fault,,0.563163602,3885,0
Sandstone,,658.504314,Anticline,0.789730292,,4997,1
Shale,,,Fault,,,3424,0
Sandstone,2.094019638,743.1559153,Anticline,,1.410465384,,1
Sandstone,9.098488182,21.47155483,Dome,,1.473335608,3596,0
Limestone,11.47453382,970.2175366,Dome,0.461842292,2.518039269,3610,1
Shale,,,Anticline,,4.789580434,3861,1
Sandstone,28.54190586,35.84542551,Anticline,0.960862816,,4539,1
Shale,24.99102792,,None,0.658887266,0.521032188,,0
Shale,,,Dome,0.921147138,,2760,0
Sandstone,1.680069268,511.2025737,Fault,0.112730532,1.932303721,,0
Sandstone,,989.190054,Anticline,0.556237726,2.433640241,2947,0
Sandstone,24.12914139,239.6898883,Dome,0.997357349,4.294228598,2250,1
Sandstone,24.74561302,114.360164,Dome,,,,0
Limestone,14.31144676,,Fault,0.891573281,4.403415235,1089,1
Sandstone,9.738275055,,Dome,0.609446407,1.87454919,2434,1
Shale,2.151952134,,None,0.85030881,,1218,1
Shale,,,Fault,0.164021745,2.53595944,3809,0
Sandstone,28.82488251,,Dome,,4.292051269,1487,1
Limestone,28.16630925,,Anticline,0.27014708,,3929,0
Shale,26.33541933,103.2979494,Fault,0.772756439,3.803879567,,0
Limestone,,,Fault,0.061113576,1.067783707,3088,0
Sandstone,8.23235163,712.4795365,Dome,0.5717191,2.252773807,,1
Limestone,18.53599963,635.2013198,Anticline,0.77125722,2.879768994,,1
Sandstone,29.84324864,,Anticline,0.621261756,,1899,1
Sandstone,2.40268529,,Dome,0.660741039,,,1
Limestone,,54.29564556,Fault,,1.001343031,,0
Sandstone,13.07203071,907.3584471,None,0.683825104,4.690083633,2692,0
Shale,,318.8545188,Anticline,0.520573937,0.716035778,,0
Limestone,,305.3311965,Dome,0.644578896,,4430,0
Shale,6.911852145,470.3387543,Anticline,0.049478191,3.670736985,1514,0
Shale,22.7227531,,Dome,0.169942491,4.667940262,2292,1
Limestone,13.01334823,565.7373888,None,0.981816702,,4058,0
Limestone,12.1192885,18.30864578,Dome,0.951808388,2.981668542,4047,1
Limestone,13.5070886,,None,0.563775198,1.766807858,816,1
Limestone,,535.5853872,Anticline,0.228310426,2.953840298,3078,0
Limestone,,,Dome,,1.716654696,809,0
Shale,8.183816781,726.8814132,Fault,0.651478767,2.180899847,,0
Shale,,,Anticline,,,,0
Sandstone,1.610912358,868.5941164,None,0.669597217,3.011991591,1682,0
Limestone,,,Dome,0.594253567,,,0
Shale,29.89696969,256.8323378,Anticline,0.50554115,,,0
Shale,8.014957878,594.8149744,Anticline,,4.771288729,740,0
Shale,,39.85691643,Dome,,0.397517916,,0
Sandstone,,,None,0.747054082,0.307437505,3213,0
Sandstone,10.84941285,219.5215828,Fault,0.629478514,3.449729553,,0
Shale,,8.776186299,Dome,0.213178529,,3986,0
Sandstone,16.62562953,,Dome,,,2196,1
Limestone,,,Dome,0.669470899,1.067573907,1525,1
Limestone,,419.6556084,Anticline,0.569346944,,4459,0
Shale,3.425513407,,Dome,0.718972939,0.874375923,4223,0
Shale,,,Anticline,,,3048,0
Shale,21.92784108,,Dome,0.70656634,4.027082253,2876,0
Shale,0.723305802,138.6251665,Anticline,,2.84492924,,0
Shale,,,Fault,0.819032021,,1635,0
Limestone,18.23588472,123.7171389,None,,,,0
Limestone,0.748986664,56.69384887,Dome,0.387130893,0.155600729,3906,0
Sandstone,17.76050528,,Dome,0.471236993,1.685163133,,0
Sandstone,,945.0202438,Anticline,0.905013946,0.875868706,,1
Shale,15.30445141,,Dome,,0.725070842,,0
Sandstone,,,Dome,0.640872377,1.722713334,4865,1
Sandstone,27.8404271,,Fault,0.430975525,,554,0
Shale,15.99754198,11.33525088,Anticline,0.797062883,,1824,0
Sandstone,14.4005553,,None,0.528147881,3.372167362,,1
Limestone,21.76434102,384.1976713,Anticline,,2.403519923,,1
Shale,,,Fault,0.876004413,2.56377392,4618,0
Shale,,887.674896,Fault,0.784604125,0.303210387,4792,0
Sandstone,23.5700745,990.2476462,Dome,0.426146408,1.54037998,,0
Limestone,13.29178087,260.8026853,None,0.281716475,2.586900917,,0
Sandstone,6.381808984,916.7096557,Fault,0.006393752,2.160777276,2727,0
Limestone,,,Dome,0.46394719,2.775902998,2156,0
Shale,,253.0266806,Anticline,0.953769396,,3123,0
Limestone,,360.7715561,None,,,,0
Sandstone,11.87884766,857.3357606,Anticline,,3.552179041,1932,1
Sandstone,29.44342786,,Fault,,,1829,0
Shale,20.14980693,933.2027325,None,,2.681764053,,0
Sandstone,,,Dome,0.20406887,3.299050574,,0
Limestone,22.43383049,759.1299613,Dome,0.425973032,4.852893276,1040,0
Shale,11.51317374,,Dome,,2.748711584,,0
Sandstone,,66.82812419,Fault,0.900591901,,3052,1
Shale,15.70624782,,None,0.582095932,,3595,0
Limestone,,,Dome,,2.938533014,2605,1
Shale,28.71590891,,Dome,,,1949,0
Sandstone,21.54503843,287.5089335,Fault,,4.779264372,,0
Shale,12.4564127,611.879843,Fault,0.330978425,4.529130911,,0
Sandstone,21.26042516,539.660136,Anticline,,3.361753632,,1
Limestone,12.80371117,356.8967899,Dome,0.410335066,2.40458838,,0
Shale,3.740923414,,Fault,,1.122193616,2906,0
Limestone,17.29417313,655.7602811,None,0.557992315,0.942072393,3771,0
Limestone,21.23259623,860.7411481,Fault,0.968699547,1.927194586,,1
Shale,,837.681796,Fault,0.290097447,4.21213721,,0
Sandstone,28.83478247,997.1347623,Anticline,0.029426067,2.537720492,2342,0
Sandstone,19.87703753,,Fault,0.434694514,,3821,0
Limestone,21.17971209,,Fault,0.587767785,,,0
Shale,,835.4711544,Fault,0.589737613,,,0
Shale,24.99018646,327.3825058,Anticline,0.132586096,0.776107139,3534,0
Shale,17.53499387,490.5142465,None,,,879,1
Sandstone,15.32912229,,Fault,0.311260662,3.347815738,,1
Sandstone,11.55318369,69.91832095,Fault,0.281681834,3.974441649,,1
Sandstone,7.837353974,,Dome,0.463195878,,1820,0
Sandstone,13.53799842,,Anticline,0.162872228,0.10216583,,0
Limestone,,955.9058187,Dome,0.234092636,,,0
Sandstone,10.70306135,,Fault,0.598201896,4.420014426,,1
Sandstone,,,Anticline,0.077745444,4.823739075,3398,0
Shale,,,None,0.264729496,2.274798322,3869,0
Sandstone,,889.5573116,Fault,0.819738541,,,1
Shale,11.27557396,604.1229908,None,0.580322246,,3647,0
Shale,12.23647831,,Dome,,3.247192113,652,0
Sandstone,,,Fault,0.452076571,1.448754444,,0
Limestone,1.242842665,,Anticline,0.794679568,4.780223437,,1
Sandstone,23.63910401,468.0763058,Fault,,3.044266251,,0
Limestone,4.906370605,,Fault,0.527705292,0.141557337,,0
Shale,10.19077855,244.9858869,Dome,0.529238337,,975,0
Limestone,24.31404652,151.7650667,None,0.962836633,4.622512149,3227,1
Shale,10.541369,622.095468,Dome,0.381779439,4.5792655,3053,0
Shale,,,Dome,0.501371935,,,0
Sandstone,0.43143708,23.13447279,Dome,0.584820037,2.184089103,2810,0
Limestone,1.840316235,,Fault,,3.52640802,,0
Shale,6.370019229,854.1623173,Fault,0.436207296,,,0
Limestone,12.70160247,311.894154,Fault,,1.163700737,,0
Limestone,25.530113,,Dome,,0.918793406,2344,1
Shale,,550.3584787,Fault,0.659314194,0.126174428,,0
Sandstone,,951.1950852,Dome,,,1824,0
Shale,,743.1658112,Fault,0.807337171,3.084891404,3743,0
Limestone,23.24785417,,None,,,2123,0
Limestone,1.409189733,297.799123,Dome,,0.895206192,,1
Sandstone,,546.3566567,None,0.217614024,1.738383367,2318,0
Sandstone,5.669569799,,Anticline,0.703463164,0.400073039,,1
Sandstone,7.426935244,352.7863451,None,,0.104481061,2135,0
Limestone,0.999695983,,Anticline,0.145705252,0.819119931,1410,0
Sandstone,27.71229394,343.576739,Anticline,0.438015176,,4701,0
Limestone,19.51275746,625.401761,Dome,0.466312216,,2657,0
Limestone,,668.6968614,Fault,,4.115362583,,0
Limestone,9.669744734,,Fault,0.676246812,4.643862128,3495,1
Limestone,9.774703823,679.5677543,Anticline,0.021970571,,,0
Limestone,5.607942883,891.1641386,None,0.885084119,3.769191296,1670,0
Shale,,461.8092626,Anticline,0.830941396,,1703,1
Limestone,,72.87441288,None,0.33129834,,3660,0
Limestone,0.214262453,585.406757,Dome,0.529768468,,3949,0
Limestone,10.19310727,215.4233249,None,0.399180765,4.370998853,1738,0
Shale,22.48278018,524.2347381,None,0.347827804,,4833,0
Sandstone,19.92605139,202.8810818,Fault,,,4212,1
Limestone,6.609821803,303.0812225,Fault,0.592615812,0.409462641,,0
Sandstone,9.357357166,,Anticline,0.240952043,4.701886554,1422,0
Shale,,575.2946257,None,,1.88462982,3437,0
Limestone,9.959948827,680.1310807,Dome,0.951967622,,730,1
Shale,18.3602559,,Dome,0.400610924,2.480929672,1707,0
Sandstone,14.22492889,796.3897625,Anticline,0.801453028,0.164676489,,1
Shale,,929.4963193,None,0.371954958,4.607857366,,0
Shale,8.956437779,820.7408504,Dome,0.166518711,1.428556429,,0
Sandstone,1.603761378,440.5663123,None,,,2616,0
Limestone,21.9716534,797.7198893,None,0.229400627,1.331974583,1378,1
Limestone,17.55233449,190.5969907,Dome,0.963043022,2.58337441,3606,1
Sandstone,,627.6897613,None,,1.717664723,,1
Shale,3.305163608,924.2925455,None,0.368529473,,4672,0
Sandstone,13.8200949,,None,0.620109532,4.812327669,,0
Shale,5.872668192,832.1580631,Fault,,1.207797536,,0
Limestone,13.45039412,,Fault,,4.419231499,1824,1
Sandstone,22.80984664,,None,0.650169182,1.237218095,4685,0
Sandstone,23.23258484,466.3044253,Dome,0.38210847,,,0
Limestone,2.406667394,,Anticline,,,824,0
Sandstone,28.33997197,505.3699403,Fault,,,1038,1
Limestone,10.15833687,253.3085102,Dome,0.957056296,1.007905431,3986,1
Sandstone,12.06671205,412.5819955,Anticline,0.56982848,2.340980225,,0
Limestone,1.456881699,169.4350577,Anticline,0.492082574,1.486808683,1445,0
Limestone,,16.54698371,Anticline,0.709882689,1.144631456,,1
Limestone,4.900099443,759.9616074,None,0.353971748,4.97006268,3686,0
Limestone,16.32549447,58.377759,Fault,0.070109793,,,0
Limestone,13.36228563,,Anticline,0.939207017,1.524339963,809,1
Sandstone,9.347152187,734.1614755,Dome,0.872432358,0.267267739,1896,1
Limestone,,851.1859016,Fault,0.1908006,,804,0
Shale,14.04901774,180.838027,Fault,0.856988188,3.288361249,,0
Sandstone,3.90078767,,Dome,0.04188603,4.787137969,,0
Sandstone,,,Anticline,0.946316946,3.048213963,3125,1
Shale,27.25095781,20.71236357,Fault,,,,0
Shale,6.708378594,724.8845844,Dome,0.828283045,,4463,0
Sandstone,0.332356578,721.8549496,Fault,0.224190699,3.165537707,,0
Limestone,10.30133369,287.8220018,None,0.687023838,0.912069451,4442,0
Sandstone,12.33446797,523.4353193,Fault,,1.298040354,,0
Shale,27.96387299,587.0466797,Fault,0.128551598,2.85089851,4809,0
Shale,2.314331223,,None,0.430285626,4.962635901,,0
Limestone,14.17727559,,Anticline,,0.064808836,2460,0
Shale,5.461893866,20.22971489,Fault,,4.70923747,2614,0
Shale,4.187966021,,None,0.294389886,,1463,0
Shale,,194.2823736,Anticline,0.435828234,,,0
Sandstone,21.63368268,104.1901741,Dome,,1.878601173,2933,1
Sandstone,18.91677703,,Dome,0.109169702,,3335,0
Shale,,,Fault,0.221498145,4.394360942,,1
Sandstone,1.7193093,616.6542187,None,0.633903227,2.661923565,1447,0
Limestone,25.36926275,,Anticline,0.46474031,,1786,0
Limestone,14.36114574,,Fault,0.841226225,1.836547428,2378,1
Sandstone,12.80574986,,Dome,0.404598666,3.218316836,4274,0
Limestone,15.94983071,,Anticline,0.872053431,4.991771757,1459,1
Sandstone,2.986395384,,None,0.917460657,4.85599784,3382,0
Shale,2.372280629,,Fault,0.657723905,,2523,0
Shale,13.77994322,,Anticline,0.202280768,2.640321828,3735,0
Shale,5.201881986,,Anticline,,,,0
Limestone,15.32048953,350.6888625,Dome,0.902840128,3.608775016,,1
Sandstone,27.43578461,906.2056397,Dome,0.981687434,,,1
Sandstone,,156.1577071,None,,0.612129556,,0
Sandstone,27.232063,448.9185685,Dome,,1.173199442,,1
Sandstone,18.85699202,949.6371808,Anticline,,,,1
Shale,13.66857469,638.0651482,None,0.593191758,0.487741471,3966,0
Shale,,,None,0.393961275,1.724762735,2809,0
Limestone,29.65619961,,Dome,0.620467973,4.223032413,4597,0
Sandstone,18.25749464,,Anticline,,1.672039644,4861,0
Shale,,334.0637306,Anticline,0.769165282,4.796988662,4030,0
Sandstone,26.6462758,,None,,3.157723857,2990,0
Sandstone,,762.8085417,Fault,,1.144057882,1818,0
Sandstone,21.70184067,828.6712124,None,0.499056795,0.113194117,,0
Limestone,19.99851255,227.6590289,Dome,,3.197887799,,1
Limestone,25.76797048,,Fault,,0.497612041,4221,1
Limestone,26.76713747,286.9000604,None,0.60546486,1.639991742,2673,0
Sandstone,26.65599866,,None,0.837069243,,,0
Limestone,26.05918919,,Dome,,,,0
Sandstone,,921.8674439,Fault,0.366517204,1.341075614,4520,0
Limestone,26.73602392,957.5697006,Fault,0.408100648,4.412255775,682,0
Limestone,22.08686648,,Anticline,0.738775881,,2711,1
Sandstone,,,Fault,0.688228042,,2685,1
Limestone,,988.0049995,Anticline,0.916075049,,2962,1
Sandstone,24.82496225,83.26679482,None,,3.740598035,2521,0
Sandstone,9.571317896,158.6691543,None,,4.502553218,,0
Limestone,21.74360925,434.111578,Anticline,,4.630871288,1910,1
Shale,,,None,,,3372,0
Shale,,17.79047254,None,0.049630861,0.450694926,,0
Sandstone,,511.2812385,None,0.100395919,1.019811587,3286,0
Shale,,19.30102326,Anticline,,,2041,0
Sandstone,,206.8425117,Dome,,,3483,0
Limestone,14.14989548,452.7305027,Fault,0.103533987,,,0
Sandstone,18.85220873,861.4250464,Fault,,3.869960353,4060,0
Shale,13.59802382,461.6806361,Fault,,3.008933344,,0
Shale,17.46712346,107.3411412,Dome,,0.533263587,3410,0
Limestone,8.634938966,,Anticline,0.919934732,1.696585127,4438,1
Sandstone,,,Fault,0.886613143,,,1
Sandstone,,,Dome,0.579431823,2.371176489,2088,0
Sandstone,18.48548896,489.8008673,Dome,0.041266784,,3850,0
Shale,9.519164323,75.03464055,None,,2.194649718,3672,0
Shale,11.87123891,419.9684437,None,0.376086713,0.423848274,,0
Shale,9.193270097,,Anticline,0.616088119,0.243764386,,0
Limestone,6.40701901,433.1416907,Anticline,,3.408975945,3459,0
Sandstone,25.21897934,386.2349768,Dome,0.67825006,,1630,1
Limestone,26.09813499,,Fault,0.076766737,2.938591417,4682,0
Sandstone,23.20716305,145.023648,Dome,0.890466258,,,0
Shale,7.067646847,743.8850499,Dome,,,,0
Sandstone,6.621377578,304.9420652,None,,0.377249677,,0
Sandstone,,,None,0.886416388,4.590057805,1335,1
Limestone,2.527930985,317.7561455,Fault,0.582163196,4.704823072,,0
Limestone,7.751779436,,Anticline,,,4896,1
Shale,10.84461449,,Dome,,,3668,0
Sandstone,15.23256456,200.2408967,None,0.376519641,2.789224125,1216,0
Sandstone,17.07844149,62.06175245,Anticline,0.973276545,0.084847173,834,1
Sandstone,15.57489119,849.6284718,Dome,0.451362275,,,0
Sandstone,27.85007316,,Fault,,1.634243093,4905,0
Limestone,20.11339996,,None,0.133771267,0.293203504,3227,0
Shale,,670.5314277,Anticline,,,2296,1
Limestone,7.781992164,31.13121014,None,,1.912665347,,0
Shale,19.8405042,,Dome,0.652534965,1.696643751,,0
Sandstone,6.910284963,975.6477471,Anticline,0.770915646,3.574615632,4338,1
Limestone,11.27415048,,Anticline,,3.15353166,,0
Limestone,12.15324164,847.075677,None,0.061211507,4.135654258,4401,0
Sandstone,,,Dome,0.103937763,0.949195552,1744,0
Shale,22.94328726,992.1343449,Anticline,0.247617399,,2368,0
Limestone,,,Dome,0.996814976,1.500843993,,1
Sandstone,1.875208245,354.2375548,None,0.417492852,4.307774523,,0
Shale,1.208439202,724.1987485,Dome,,3.402748252,,0
Limestone,0.817500359,666.9467732,Dome,0.796590936,0.222372992,2736,1
Shale,,,Dome,0.576910908,,,1
Sandstone,10.43347209,,Fault,,4.430600057,2977,0
Limestone,19.73848457,,None,0.394975,0.480087201,3871,0
Limestone,4.786198701,,Fault,0.279042387,1.164522786,,0
Limestone,19.81007492,847.7264558,Anticline,,,1775,0
Limestone,18.92152333,972.1944571,None,,,2101,0
Sandstone,8.141645647,,None,0.036439486,4.371943396,3394,1
Limestone,7.812093264,,Fault,,1.598089113,,0
Sandstone,8.516345448,885.2342016,Dome,0.646260945,4.038651398,,1
Shale,,,Dome,0.017495547,,,0
Sandstone,27.40334095,755.432087,Anticline,0.684638332,0.140927477,3734,1
Shale,17.39299372,,Anticline,,,,0
Shale,,,Fault,0.494611313,2.60104537,2367,0
Limestone,,,Dome,0.73067737,4.813408493,4059,1
Shale,,,Dome,0.703063538,4.461805404,,0
Limestone,18.63318975,330.7816861,Dome,0.253620169,4.84088202,2536,0
Shale,13.25239475,257.7347436,Fault,,,908,0
Sandstone,,689.9461062,Anticline,0.870600843,1.354370277,,1
Limestone,26.1993262,748.3971238,None,,4.181275047,2586,0
Limestone,2.000816442,4.763926856,Anticline,0.648793116,1.368679294,,1
Sandstone,,277.3456548,Fault,0.878580713,3.976535165,2740,1
Sandstone,29.51205101,,None,0.199904146,,,0
Limestone,24.43695636,,Dome,0.876891678,3.966491379,1572,1
Shale,13.60737,907.9080419,Dome,0.402701286,,,0
Sandstone,12.92951706,357.5429873,None,0.845899646,0.573990956,2281,0
Sandstone,17.78948103,278.4379236,Dome,0.926910189,,3868,1
Limestone,,736.94919,None,0.48853562,,,1
Limestone,5.710109253,386.7502621,Fault,0.254349101,3.473125022,3033,0
Shale,,653.1605534,Dome,0.919296215,,,0
Sandstone,12.45784313,286.3793239,Anticline,,1.416267359,,1
Limestone,7.305850167,275.7793932,Anticline,0.363256937,,,0
Limestone,24.90452949,399.1673956,Dome,0.384047383,,,0
Sandstone,15.26825343,46.41916258,Dome,0.725769016,0.249344212,,1
Limestone,,,Anticline,0.295470343,4.608713752,,1
Sandstone,2.513729176,545.2418674,Anticline,0.214718728,3.809616909,,0
Limestone,,691.6585144,None,0.749823584,,3150,0
Sandstone,,,None,0.714012801,,1015,0
Shale,,400.9552387,Dome,0.426954445,,4195,0
Shale,5.147891012,319.7558973,Anticline,,1.947737569,,0
Limestone,14.80630979,,Fault,0.732969668,,1440,1
Shale,25.11485893,35.71533165,Fault,0.485969647,,4470,1
Shale,9.335842134,,Anticline,,,4243,1
Shale,5.293193114,297.4145972,Dome,0.195647747,0.580761,,0
Limestone,6.021385287,,Fault,0.848608757,3.133599615,2183,1
Sandstone,,176.6340735,Fault,0.174466018,0.15998261,4771,0
Sandstone,25.69480208,,Fault,,,,1
Sandstone,22.15517636,,Anticline,0.517275403,0.839811982,2594,0
Limestone,10.16834326,380.2512366,Anticline,0.158702712,,,0
Sandstone,26.43012254,646.0646344,None,0.202082463,3.211108379,4012,0
Sandstone,5.850269413,581.4654448,Fault,0.193204485,1.100496938,3815,0
Sandstone,,724.8161334,None,0.08080906,2.130220517,,0
Shale,,677.3226058,Anticline,0.300563885,1.985615128,3068,0
Sandstone,27.75193669,,None,0.183427416,3.869173638,,0
Shale,12.14175191,770.8718845,Fault,0.785215875,3.55992323,,0
Shale,7.575911689,519.2895038,Fault,0.177803238,,3725,0
Sandstone,,,Dome,0.846799601,2.859784521,,1
Shale,5.156211076,,Fault,0.740955915,2.549861325,,1
Limestone,23.69285321,,Fault,,2.830317319,,1
Limestone,1.732232384,,None,,0.451206588,1306,0
Shale,23.3037145,538.5989306,Anticline,0.830284606,0.625646078,2313,0
Limestone,18.76434181,,None,,4.930884436,3732,1
Sandstone,26.13754882,791.9034041,Fault,,,3947,1
Limestone,17.9032926,,None,0.106682397,0.616971819,,0
Sandstone,,807.7479954,Dome,,2.351544079,,0
Shale,,851.3561781,Fault,,,,0
Shale,,512.6988058,Anticline,,,,0
Limestone,29.92747779,,Anticline,0.61464568,,,1
Limestone,1.217879559,,Fault,,,,0
Sandstone,13.07016198,67.34400995,Fault,,1.481907617,4869,0
Shale,20.27677868,,Anticline,0.314502476,,,0
Limestone,,102.1639158,Fault,,,,0
Shale,1.910543025,688.6855055,Fault,0.061179881,,,1
Limestone,,335.9936785,None,,1.697953707,,0
Sandstone,10.34452823,,Dome,0.259614099,,4993,0
Sandstone,2.511748135,952.9574032,Anticline,0.437276769,4.781908724,3887,0
Limestone,12.92951187,394.5503204,Anticline,0.994543892,,2271,1
Sandstone,,,None,0.520316722,2.811989988,,0
Shale,,212.0524686,Dome,0.804533295,4.117763636,857,0
Shale,18.01819888,648.4677284,None,,2.229792532,,0
